iter	Passed	Remaining
772	3553	1043
773	3558	1038
774	3562	1034
775	3566	1029
776	3570	1024
777	3574	1019
778	3577	1015
779	3582	1010
780	3586	1005
781	3589	1000
782	3593	995
783	3598	991
784	3602	986
785	3605	981
786	3609	976
787	3614	972
788	3619	967
789	3623	963
790	3628	958
791	3632	953
792	3635	949
793	3639	944
794	3645	940
795	3649	935
796	3653	930
797	3657	925
798	3660	920
799	3664	916
800	3668	911
801	3672	906
802	3677	902
803	3681	897
804	3688	893
805	3692	888
806	3696	883
807	3699	879
808	3703	874
809	3707	869
810	3711	864
811	3715	860
812	3718	855
813	3723	850
814	3727	846
815	3732	841
816	3736	836
817	3740	832
818	3744	827
819	3749	822
820	3754	818
821	3758	813
822	3762	809
823	3768	804
824	3773	800
825	3777	795
826	3781	791
827	3785	786
828	3789	781
829	3793	776
830	3797	772
831	3801	767
832	3806	763
833	3810	758
834	3814	753
835	3818	749
836	3822	744
837	3826	739
838	3830	735
839	3835	730
840	3839	725
841	3843	721
842	3847	716
843	3851	711
844	3855	707
845	3859	702
846	3863	697
847	3868	693
848	3872	688
849	3876	684
850	3880	679
851	3885	674
852	3888	670
853	3892	665
854	3899	661
855	3903	656
856	3906	651
857	3910	647
858	3914	642
859	3918	637
860	3922	633
861	3926	628
862	3930	623
863	3934	619
864	3938	614
865	3943	610
866	3947	605
867	3951	600
868	3955	596
869	3959	591
870	3963	587
871	3967	582
872	3971	577
873	3975	573
874	3979	568
875	3983	563
876	3987	559
877	3991	554
878	3995	550
879	4000	545
880	4012	542
881	4016	537
882	4020	532
883	4024	528
884	4028	523
885	4031	518
886	4036	514
887	4040	509
888	4044	504
889	4048	500
890	4052	495
891	4056	491
892	4060	486
893	4064	481
894	4068	477
895	4072	472
896	4076	468
897	4079	463
898	4083	458
899	4089	454
900	4093	449
901	4096	445
902	4101	440
903	4105	435
904	4109	431
905	4113	426
906	4119	422
907	4123	417
908	4127	413
909	4131	408
910	4135	404
911	4140	399
912	4144	394
913	4149	390
914	4153	385
