,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,DTT_Mass_Recovery,Fe_pct_DTT,Magnetite_pct,MS_Actual,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Co_ppm,Cr_ppm,Cu_pct,Fe_pct,Ga_ppm,K_pct,La_ppm,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Ni_ppm,P_ppm,Pb_ppm,S_pct,Sb_ppm,Sc_ppm,Si_pct,SiO2_pct,Sr_ppm,Th_ppm,Ti_pct,Tl_ppm,U_ppm,V_ppm,W_ppm,Zn_ppm,Ac,Alb,Cb,Ch,Cp,Cu_Sulfide_pct,Ep,FeOx_1_pct,FeOx_2_pct,He_s,He_t,Hem,Kspar,Lm,Mt,Py,Qz,Sr
Sb_ppm,-0.020708471455357872,-0.1451845524620669,0.2359980321227097,0.06608328973486988,0.14643681014054294,0.14207783646320396,0.06444808537374772,0.1413080767607523,0.11534154882363315,-0.19912528920800188,0.1665323367876903,0.1202769646537702,-0.12114072072385106,-0.046655805592615764,0.04114825214594452,-0.008070546118631691,0.08860198814472017,0.06415117811335272,-0.0671046730935518,0.10947052536234933,0.20324695486114636,-0.08204228918235011,-0.14141176775380973,-0.1852914224326387,-0.17195439021437725,-0.031871164866874024,-0.06276457801193705,-0.16933781350900715,-0.034983624777118395,-0.15803635841632338,0.03224215844220618,0.04177027515511885,1.0,-0.16275506643478252,-0.13805531344043603,-0.1380553134404367,-0.0048355249431789775,0.34522902696064467,-0.1380808270809216,0.30805389650080556,0.25143487554617583,-0.12518744846098082,0.10180714776890797,-0.011977053362215863,-0.06615397334623546,0.16189697726654664,0.044968866057479004,-0.09421600266874859,0.07016747843074289,0.06809874637899922,0.013861250070538098,0.1180858184749173,0.016214523756645168,0.03692960493164941,0.18873060205726006,0.07774439878979914,-0.059830850701791484,0.09208462340912409,0.08265375287055433,0.017163979246807754,0.054879759735895796,-0.0639533503202709
Sc_ppm,0.2568435699092136,0.25063720714139265,-0.18480529369793638,-0.5150255589857519,-0.2526402845060712,-0.73403569749935,-0.3073745753146807,-0.3296692291435407,-0.2096784252703202,0.867662111925714,-0.22723417733637635,-0.4358366885497045,0.1974741139801329,0.20878435094738698,-0.21664013153896103,0.2602675848254601,-0.09963778364538953,-0.26834474857682095,0.4810476557935658,-0.4069451769039973,-0.7660139840348879,0.12321635878851109,0.29815307888154075,0.14165570146815243,0.6606006040562977,0.3758782601784548,-0.14202691696000458,0.6512505207019222,0.2480606774334181,0.6959949487570174,-0.013153875679962386,-0.375695754087507,-0.16275506643478252,1.0,0.6559427667824952,0.6559427667824956,0.4433178371646825,-0.09878141905480901,0.8622476225391088,-0.17667000897067603,-0.13288098765569173,0.7566406771646785,-0.23652952219136114,0.36674344245376217,0.14466505358903103,-0.26210146606054857,-0.10959769520463952,0.30065349486366433,-0.17700340481550794,-0.18293515464215576,0.035517746261740916,-0.3489588312929751,-0.11855552757836973,-0.33448208132550067,0.0038390168267933202,-0.00040181700285266646,-0.04131339402353787,0.007038906937978211,-0.12442204320621003,-0.1728309957803027,-0.12143736098838363,0.08810341001972587
Si_pct,0.19473407319502395,0.3231255107580586,-0.19942797504318005,-0.393075245122677,-0.45017690027559315,-0.8473349125968221,-0.4962960080439354,-0.4945210475322042,-0.2608974668347654,0.8466705452822733,0.126493846734392,-0.3597132979191458,0.3137220728085231,0.16244159877179604,-0.2850116593408031,0.1127007431691548,-0.03746436851698534,-0.33151012732852025,0.24104396062770664,-0.4120303233177105,-0.8894034064733483,0.11627225662874842,0.2823055850944522,0.08772650492516344,0.5272643150672751,0.3491989797675264,-0.1507653709572371,0.6734359580853367,0.16071517881577185,0.5927707966944141,0.1662892234131043,-0.4047256717430484,-0.13805531344043603,0.6559427667824952,1.0,1.000000000000001,0.4893886771033545,-0.19546325468113682,0.6294456303152972,-0.3399760932535339,-0.21586078642525497,0.61005885612675,-0.2494519538287039,0.17272080506994325,-0.007838689128593547,-0.147922358846256,-0.1295954320800565,0.25531477497026184,-0.2623006224767591,-0.2609531367510153,0.08685916855577634,-0.419680387700287,-0.08779488668462497,-0.3018052197319385,0.04046851807219727,-0.038502761067788556,0.04585309428621428,0.0590852068447375,-0.2363563282775163,-0.18995642070430827,-0.031132732598331807,0.07472255669268213
SiO2_pct,0.1947340731950237,0.32312551075805906,-0.1994279750431799,-0.3930752451226765,-0.450176900275593,-0.8473349125968204,-0.4962960080439358,-0.49452104753220544,-0.26089746683476567,0.8466705452822745,0.12649384673439132,-0.35971329791914514,0.31372207280852316,0.16244159877179637,-0.28501165934080364,0.11270074316915477,-0.03746436851698545,-0.3315101273285201,0.24104396062770622,-0.41203032331770933,-0.8894034064733478,0.11627225662874859,0.28230558509445236,0.08772650492516401,0.527264315067275,0.34919897976752656,-0.15076537095723697,0.6734359580853375,0.16071517881577188,0.5927707966944136,0.16628922341310393,-0.40472567174304763,-0.1380553134404367,0.6559427667824956,1.000000000000001,1.0,0.489388677103355,-0.19546325468113798,0.6294456303152977,-0.339976093253535,-0.2158607864252555,0.6100588561267501,-0.24945195382870458,0.172720805069943,-0.00783868912859366,-0.14792235884625546,-0.12959543208005656,0.25531477497026195,-0.2623006224767594,-0.2609531367510152,0.08685916855577636,-0.41968038770028826,-0.08779488668462512,-0.3018052197319383,0.04046851807219727,-0.03850276106778829,0.04585309428621417,0.05908520684473736,-0.23635632827751643,-0.1899564207043083,-0.031132732598331495,0.07472255669268206
Sr_ppm,0.12503687985495962,0.2117958657471345,0.023671490131395655,-0.16608634208226042,-0.38959634168509466,-0.5121815960344714,-0.3863140665295649,-0.3958580259144635,-0.019469975366504504,0.5358817259114363,0.046108337010528744,-0.19260259066527854,0.5194414938582597,-0.13390852158183666,-0.14934258717105126,0.17696426771805934,-0.047953483956076154,-0.12591878351117977,0.2811174346685879,-0.1847357601159938,-0.517082650363659,-0.006616079536350858,0.4442760253412499,-0.016758895311592095,0.359697526308362,0.43220642938193776,-0.07155122580691012,0.26802523312594856,0.09451730030780814,0.1943687009207912,0.09337597640337977,-0.1607765742984519,-0.0048355249431789775,0.4433178371646825,0.4893886771033545,0.489388677103355,1.0,-0.013284977257023876,0.2936541437432471,-0.17551344607770378,-0.023060775860584134,0.24226839467849243,-0.12114263812651221,0.533141366327169,-0.0694674837230365,-0.09085781382591739,-0.1050179717398803,0.10000012272426034,-0.12299888797334588,-0.12666516046792745,0.3257960158750805,-0.28247030669108864,-0.06662196885578446,-0.12561981925265042,0.13822053963484526,0.07809421481611802,0.008667210658216257,0.17454031382777513,-0.25875150956602255,-0.1353346463497858,-0.031813201778188575,0.14266255818158513
Th_ppm,0.2519733657014967,-0.5390962307562651,0.7903141659069037,-0.024625824030022683,-0.04420562831157783,0.11798768202022888,-0.06510189078428073,-0.1035846527759785,0.26731555955056174,-0.07483899082419133,0.14015087350837468,0.2907094707922119,0.07570585926643349,-0.1318489943428442,0.19531018517317736,0.033157777535263874,0.17869289048727993,-0.052505253909347585,-0.16240591845114194,0.2395215298498817,0.07763453208242602,-0.12949944256144194,0.004481150199813229,-0.34158126931571375,-0.22877511562194575,0.050868629241513384,0.02879478346720897,-0.03830861029868313,-0.33625511698533417,-0.063233233074457,0.15230668974175493,-0.04929391892718313,0.34522902696064467,-0.09878141905480901,-0.19546325468113682,-0.19546325468113798,-0.013284977257023876,1.0,0.024886203261163614,0.5261527646172013,0.21669886827995463,-0.07501577252217556,0.5326977845339068,-0.0190490233750416,-0.2978106002965575,0.19311648295971443,-0.07354722156314056,-0.33785881351727165,0.11735994516228396,0.12046677993854275,-0.13092319480671094,0.14002069387345786,-0.001292394703472731,0.1454856061623602,0.032100116336429715,0.056548252776799285,0.18685691759816966,0.041338695863383144,0.02228899633194585,-0.11858868650004145,0.08555804134440424,0.08828931537144193
Ti_pct,0.2598455763595068,0.1272305507296423,-0.04990963027477927,-0.6411495548823286,-0.21515945879222825,-0.6307025256134535,-0.30237785148393537,-0.27537632316648253,-0.14214717020133405,0.7507455912691203,0.030030841689977366,-0.3222917665615274,0.12802474842373598,0.38495364067027754,-0.15682061781998388,0.1575542377916518,-0.05492997030302537,-0.35891751090701124,0.18321001438338996,-0.27935428580011884,-0.6609074762961976,0.12875210815158555,0.19318504880175993,0.05843027162227684,0.4458354353916392,0.20909989497320264,-0.09809368683911882,0.7526951100024992,0.08811819120826285,0.8010501772179472,0.05207798814764954,-0.4294705367048993,-0.1380808270809216,0.8622476225391088,0.6294456303152972,0.6294456303152977,0.2936541437432471,0.024886203261163614,1.0,-0.07108741975666016,-0.10566586375607516,0.8809629543632037,-0.16893766110898528,0.11791998946359286,0.029027320870168793,-0.14183797024006825,-0.09978267806783812,0.1593198905104822,-0.18255093044287524,-0.1773969954953765,-0.04822413469542399,-0.307244020279227,-0.12082586864107403,-0.2760436545277423,-0.024852339804748436,0.0019121708968380833,0.03906763011500145,0.023161975692958123,-0.1436749858859545,-0.2638796330898699,-0.06385133507798631,-0.01760895849807127
Tl_ppm,0.18723281164913108,-0.2560049751885951,0.42595510367355083,0.04096544336135059,0.14595592631273493,0.2194350147387887,0.14467105357383195,0.15035327643099322,0.10158508362107985,-0.19324573501245834,0.07696950158795622,0.1767541221852092,-0.09498207486886255,0.062419282922623325,0.16501513777596397,-0.0417974662054431,0.1592864714527487,0.09908752226327054,-0.1489023830087776,0.11611046057197842,0.2592031116215614,-0.027509654448950923,-0.10008866647141743,-0.19780050102231286,-0.19252601293231533,-0.06234302828432438,0.06226440695965517,-0.09902147130878584,-0.09043160326442681,-0.12196626351278327,0.1978534689476103,0.09131969813050446,0.30805389650080556,-0.17667000897067603,-0.3399760932535339,-0.339976093253535,-0.17551344607770378,0.5261527646172013,-0.07108741975666016,1.0,0.06433337353165777,-0.041336191456732514,0.30991960210221475,-0.0802504112025138,-0.04567097321257207,0.13502801328504171,-0.04838089537825246,-0.25286637685041036,0.06729488484550626,0.06517382908119754,-0.08424866713705292,0.17308370964043102,0.018861007121355272,0.09637150050321046,-0.02032270649363882,-0.00015469604693412896,0.06993895178349961,0.001870340904536188,0.10963493360684358,0.023128037930810773,-0.017414165947070327,-0.03516554486588483
U_ppm,-0.012582453040154937,-0.2590459840940828,0.2660739206823828,0.05079798729478916,0.015024626287853983,0.1592440462717081,0.024385622037104388,0.007957036380930873,0.046978136694149124,-0.1395908555899738,0.11523148447439421,0.2178553917612083,-0.06344116145309153,-0.09794039605820687,-0.03459460394181955,0.08943059589237759,0.07496482977835696,0.09380182118165353,-0.04933824293584303,0.21211997101297123,0.14473252073051474,-0.14405894440744235,-0.07113535549634097,-0.10647547453232958,-0.17330310750878083,-0.07635416144542262,-0.006670818696654671,-0.12186474937365632,-0.12658022105294509,-0.13042810887953366,-0.07228205530132276,0.1297116847441528,0.25143487554617583,-0.13288098765569173,-0.21586078642525497,-0.2158607864252555,-0.023060775860584134,0.21669886827995463,-0.10566586375607516,0.06433337353165777,1.0,-0.15385315007493705,0.18326327316897,-0.1380492160708584,-0.11355685894759589,0.16188697883113373,0.09675293125424611,-0.1798149267250575,0.08347124301500827,0.08304097567696858,-0.021667238464902344,0.019109806516180838,0.0688525176717724,0.08342297162190472,-0.01916533923594151,0.02282897054994773,0.010214777088193988,-0.023034374440059756,-0.03463236774188448,-0.029008010385671384,0.01056678696879558,-0.014706523613951581
V_ppm,0.3350097671397547,0.21792046489179082,-0.2242133461609252,-0.5279864438644457,-6.47809239204398e-05,-0.5368915812553701,-0.06893935471655993,-0.06011744172649436,-0.07188421076326658,0.6662199846963917,-0.22435815790818076,-0.394523181998775,0.06936395045958323,0.559183281214695,-0.07195786081448173,0.1979665683015324,-0.0005916630673416827,-0.39189056006057,0.21927705695436248,-0.38915547140111395,-0.5425473255774299,0.16228435045650605,0.08410624585776835,0.1172023268720186,0.5130562829247384,0.1965852998946539,-0.1103530906853296,0.6991757529161049,0.2746952904201035,0.7249277312378031,0.020997199349616278,-0.5009235354601402,-0.12518744846098082,0.7566406771646785,0.61005885612675,0.6100588561267501,0.24226839467849243,-0.07501577252217556,0.8809629543632037,-0.041336191456732514,-0.15385315007493705,1.0,-0.1994293714228709,0.16378268124556927,0.25425463034270784,-0.303396375476295,-0.23841940205016815,0.26972215419596696,-0.22209777219160734,-0.22500737521586883,-0.05074080194620981,-0.2440079360267756,-0.15940940642321613,-0.34588616525440297,-0.017662202327237253,-0.004484967674468645,-0.04100778184612372,-0.0009248619919241275,-0.01041755038604053,-0.2761559272793805,-0.12662878005725084,-0.019414519756710713
W_ppm,0.10194664803871091,0.05323964245789617,0.2875990290513331,0.11161417670584006,-0.10198944500429652,0.2651638872365588,-0.11854143251116711,-0.10383865435845475,0.15621915553588878,-0.2270566479241032,0.03268139018405462,0.25235347208470005,-0.03236130776235331,-0.20746555664249725,0.05084839606930863,-0.1385043104666941,0.09631349455109992,0.13642141488968182,-0.14562846205581803,0.26294107798868693,0.24344294711482453,-0.24189348921199832,-0.03726564556870854,-0.21256112488103557,-0.26262299751934354,-0.1780428089927697,0.04166722957312802,-0.13895668008670306,-0.1754704549788292,-0.11717494045208865,0.14100592005663823,0.16934871278207742,0.10180714776890797,-0.23652952219136114,-0.2494519538287039,-0.24945195382870458,-0.12114263812651221,0.5326977845339068,-0.16893766110898528,0.30991960210221475,0.18326327316897,-0.1994293714228709,1.0,0.013167976186832386,-0.13583406418449664,0.009045175471976268,-0.06513391549093152,-0.19406151509637815,0.0933125224792122,0.09023783810693427,0.013895194509165832,0.15006672254341477,0.1305741434648354,0.2640845380808096,0.007316657795702341,0.03651547704106554,0.006043292932126296,-0.02303593203316571,-0.027279247962059973,0.11356943965697419,0.0195188886011958,0.034689333862006164
Zn_ppm,0.058775917534312785,0.23064620924694418,-0.03581539654335408,-0.02134417375617697,-0.12120621517476095,-0.19272020334739912,-0.09610299022169329,-0.12846807076768435,0.06262803505971666,0.24988988063043818,0.17999272793889076,-0.12128831611095275,0.30552934536840515,-0.14258484948758712,-0.061581730503303934,-0.021903165404289163,0.03497452240306252,-0.03950212928703747,0.5267693755540341,-0.1354280550564766,-0.21778380499961492,0.12429893419380034,0.21455075307395635,-0.03423541348974365,0.467029500091297,0.4763014892199268,0.03606017234931234,0.09690633569945357,0.46777206633233176,0.09121465749792342,0.193549486974218,-0.07292390661292922,-0.011977053362215863,0.36674344245376217,0.17272080506994325,0.172720805069943,0.533141366327169,-0.0190490233750416,0.11791998946359286,-0.0802504112025138,-0.1380492160708584,0.16378268124556927,0.013167976186832386,1.0,-0.00931107141044207,-0.1789796209187307,-0.15109179244318713,0.034985428952486894,-0.06214267422855655,-0.06223546265004344,0.13395225073615505,-0.12765041444596667,-0.00029095054930414514,-0.10890305325953631,0.05308450410420587,-0.009244193682835088,-0.10524013179484232,0.10292254711254464,-0.06624121176055414,0.03262137982422971,-0.10351293471076913,0.1721735028309979
