,mid_x,mid_y,mid_z,DTT_Mass_Recovery,MS_Actual,Al_pct,As_ppm,Au_ppm,Be_ppm,Ca_pct,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_ppm,Pb_ppm,S_pct,Si_pct,SiO2_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Ac,Cb,Ch,Cp,Cu_Sulfide_pct,Ep,FeOx_1_pct,He_s,Kspar,Lm,Mt,Py,CuOx,Mixture,Sulfides,ANDE_LOWER,ANDE_UPPER,ANLT,ANLT_ANDE,BX,VLCL_BOTTOM,VLCL_TOP,Fe1_M1_100,Fe1_M1_200,Fe1_M1_220,Fe1_M1_221,Fe1_M1_222,Fe1_M1_302,Fe1_M1_304,Fe1_M1_306,Fe1_M1_400,Fe1_M1_502,Fe1_M1_504,Fe1_M1_506,Fe1_M1_508,Fe1_M1_602,Fe1_M1_604,Fe1_M1_606,Fe1_M1_802,Fe1_M1_804,Fe1_M1_806,Fe1_M1_808,Fe1_M1_902,Fe1_M1_904,Fe1_M1_906,Fe1_M1_908,in,out,DTT_Fe_Conc_Grade
255,0.555382394,1.156899755,0.235613271,-0.443962848,-0.336666361,-0.628683949,0.036662453,0.546871779,-2.44313534,-1.148148148,0.010012516,0.902284508,0.752148368,-0.142857143,-0.576214405,-0.64688172,-0.088372223,0.428571429,0.032527106,0.53515625,0,-4.24E-16,-1,-0.3,-1.140784119,0.283667622,0,0.333333333,0.333333333,0.375,0.375,0,1,7.3,0,0,-0.131578947,3.185840708,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,62.9
256,0.556065555,1.157075456,0.232966681,-0.443962848,-0.336666361,-0.628683949,0.036662453,0.546871779,-2.44313534,-1.148148148,0.010012516,0.902284508,0.752148368,-0.142857143,-0.576214405,-0.64688172,-0.088372223,0.428571429,0.032527106,0.53515625,0,-4.24E-16,-1,-0.3,-1.140784119,0.283667622,0,0,0.333333333,0,0,0.333333333,-0.363636364,0.8,0.333333333,0,-0.394736842,-0.283185841,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62.9
257,0.560881448,1.158311823,0.21430822,0.143446852,0.185762774,-0.826458449,0.044247788,0.92782416,-0.27843233,-1.105820106,0.01126408,0.986753696,1.085593821,-0.038961039,-0.529313233,-0.605591398,-0.950274849,0.30952381,0.049207673,0.65625,0,-4.24E-16,-2.144367476,-0.333333333,-1.328496278,0.140401146,0,0,0.333333333,3.5,3.5,0.333333333,1,6.8,0,0,0,0.353982301,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,62.62
258,0.561564608,1.158487524,0.21166163,0.143446852,0.185762774,-0.826458449,0.044247788,0.92782416,-0.27843233,-1.105820106,0.01126408,0.986753696,1.085593821,-0.038961039,-0.529313233,-0.605591398,-0.950274849,0.30952381,0.049207673,0.65625,0,-4.24E-16,-2.144367476,-0.333333333,-1.328496278,0.140401146,0,0,0.333333333,0.75,0.75,0.333333333,0.545454545,4.8,0,0,-0.131578947,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,62.62
259,0.562397862,1.158701983,0.20843279,-0.083591331,-0.001834694,-0.471627728,0.024020228,0.665919398,1.16470301,-1.074074074,0.015018773,0.744864657,0.512751633,0.896103896,-0.2680067,-0.043010753,-0.950274849,-0.023809524,0.025854879,0.6171875,0,-4.24E-16,-1.057218374,-0.133333333,-1.093856079,0.140401146,0,0,0.333333333,0.75,0.75,0.333333333,0.545454545,4.8,0,0,-0.131578947,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,63.39
260,0.580159093,1.163263751,0.139621446,0.012590299,-0.004907807,-1.158021581,0.049304678,0.951633684,-2.44313534,-0.978835979,0.010012516,1.240161259,1.162542772,-0.675324675,-0.690117253,-0.891182796,-1.01657505,0.214285714,0.029190992,0.23046875,0,-4.24E-16,-2.430459344,-0.5,-1.680456576,0.283667622,0,0.333333333,0.333333333,3.5,3.5,0.333333333,0.727272727,5.8,0,0,0,0.707964602,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,65.1
261,0.58152518,1.163615153,0.134328266,0.267285862,0.190120172,-0.611233258,0.034134008,0.975443208,-0.27843233,-0.592592593,0.001251564,0.877327702,0.427252799,-0.441558442,-0.56281407,-0.72516129,-0.486173435,-0.285714286,0.022518766,-0.03515625,0,-4.24E-16,-1.801057233,-0.233333333,-1.539672457,0.140401146,0,0.333333333,0.333333333,3.5,3.5,0.333333333,0.727272727,5.8,0,0,0,0.707964602,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,60.13
262,0.587762037,1.165217133,0.110164898,-0.504643963,-0.4352353,0.121695772,0.039190898,-0.024556792,-1.72156767,-0.661375661,0.013767209,0.441543482,-0.453385192,0.090909091,-0.067001675,-0.32688172,0.475179493,-0.142857143,0.032527106,0.73046875,0,-4.24E-16,1.231516577,-0.133333333,-1.258104218,0.140401146,0,0.333333333,0.333333333,1.625,1.625,0,0.545454545,5.3,0,0,-0.263157895,0.353982301,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,48.62
263,0.588431595,1.165388958,0.10757124,-0.504643963,-0.4352353,0.121695772,0.039190898,-0.024556792,-1.72156767,-0.661375661,0.013767209,0.441543482,-0.453385192,0.090909091,-0.067001675,-0.32688172,0.475179493,-0.142857143,0.032527106,0.73046875,0,-4.24E-16,1.231516577,-0.133333333,-1.258104218,0.140401146,0,0.333333333,0.333333333,0.375,0.375,0,-0.436363636,0.4,0,0,-0.342105263,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.62
264,0.589025872,1.165541405,0.105268706,-0.504643963,-0.4352353,0.121695772,0.039190898,-0.024556792,-1.72156767,-0.661375661,0.013767209,0.441543482,-0.453385192,0.090909091,-0.067001675,-0.32688172,0.475179493,-0.142857143,0.032527106,0.73046875,0,-4.24E-16,1.231516577,-0.133333333,-1.258104218,0.140401146,0,0.333333333,0.333333333,-0.25,-0.25,0.333333333,-0.218181818,1.4,0,0,-0.342105263,-0.318584071,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.62
265,0.591840361,1.16626488,0.094364755,-0.054695562,0.082010825,-0.826458449,0.026548673,0.689728922,-1.72156767,-1.111111111,0.007509387,0.7640622,0.863296853,0.168831169,-0.716917923,-0.918709677,-0.419873233,-0.428571429,0.042535446,0.8828125,0,-4.24E-16,-0.885563252,-0.433333333,-1.398888337,0.426934097,0,0.333333333,0.333333333,-0.25,-0.25,0.333333333,-0.218181818,1.4,0,0,-0.342105263,-0.318584071,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.87
266,0.592523522,1.166440581,0.091718165,-0.054695562,0.082010825,-0.826458449,0.026548673,0.689728922,-1.72156767,-1.111111111,0.007509387,0.7640622,0.863296853,0.168831169,-0.716917923,-0.918709677,-0.419873233,-0.428571429,0.042535446,0.8828125,0,-4.24E-16,-0.885563252,-0.433333333,-1.398888337,0.426934097,0,0,0.333333333,3.5,3.5,0,0.727272727,5.8,0,0,-0.131578947,3.185840708,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,66.87
267,0.594804944,1.16702582,0.082878554,0.044375645,0.133152922,0.272935095,0.051833123,-0.476937745,0.44313534,-0.116402116,0.073842303,-0.084469188,-0.410635775,0.649350649,0.502512563,0.713978495,-0.154672425,0.119047619,0.069224354,0.59375,0,-4.24E-16,3.291378033,0.333333333,0.290521092,0.140401146,0,0,0.333333333,3.5,3.5,0,0.727272727,5.8,0,0,-0.131578947,3.185840708,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,65.69
268,0.595488105,1.167201521,0.080231964,0.044375645,0.133152922,0.272935095,0.051833123,-0.476937745,0.44313534,-0.116402116,0.073842303,-0.084469188,-0.410635775,0.649350649,0.502512563,0.713978495,-0.154672425,0.119047619,0.069224354,0.59375,0,-4.24E-16,3.291378033,0.333333333,0.290521092,0.140401146,0,0,0.333333333,-0.125,-0.125,0.333333333,-0.490909091,0.1,0.333333333,0,-0.394736842,-0.247787611,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65.69
