,mid_x,mid_y,mid_z,MAGSUS_MOD,MINDOM_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,Magnetite_pct,MS_Actual,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Co_ppm,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Ni_ppm,P_ppm,Pb_ppm,S_pct,Sb_ppm,Si_pct,SiO2_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Zn_ppm,Cu_Sulf_Mode,FeOx_1_Mode_1,FeOx_1_Type,Py_Min_Mode_1,Ac,Alb,Cb,Ch,Cp,Cu_Sulfide_pct,Ep,FeOx_1_pct,FeOx_2_pct,He_s,He_t,Hem,Kspar,Lm,Mt,Py,Qz,Sr
1033,399750.4472,7073010.408,852.6754805,in,Sulfides,VLCL_TOP,30.1,28.56,19.63,26473.0,0.971269035532995,1.97,100.0,0.015,211.6751269035533,0.8385871404399322,5.992868020304568,3.16,0.697766497461929,550.0,100,0.122,31.5,0.3,0.97,1000,13.399720812182741,0.8733164128595601,50.0,500,100.0,3.78,7.942571912013536,18.15,38.841,47.47690355329949,0.1,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_504,0.0,0.0,1.0,2.0,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,0.5,0.0,0.0
1034,399751.6514,7073010.223,842.7501081,in,Sulfides,VLCL_TOP,78.7,61.86,54.76,112200.0,0.971269035532995,0.24,100.0,0.167,211.6751269035533,0.8385871404399322,5.992868020304568,0.64,0.697766497461929,1640.0,100,0.298,63.6,0.1,0.19,600,13.399720812182741,0.8733164128595601,100.0,100,100.0,7.89,7.942571912013536,1.82,3.8948,47.47690355329949,0.04,104.61844331641286,11.346446700507615,100,Cu_M_502,Fe1_M1_904,Fe1_T_a,Py_M1_506,0.0,1.0,1.0,2.0,0.5,0.5,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,3.0,0.0,0.0
1035,399761.6662,7073006.587,791.9232712,in,Sulfides,VLCL_BOTTOM,72.5,54.22,49.89,87378.0,0.971269035532995,1.16,100.0,0.024,211.6751269035533,0.8385871404399322,5.992868020304568,1.36,0.697766497461929,720.0,100,0.121,52.8,0.3,0.63,900,13.399720812182741,0.8733164128595601,100.0,500,100.0,3.61,7.942571912013536,5.97,12.7758,47.47690355329949,0.12,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_302,0.0,0.0,1.0,2.0,2.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0
1036,399764.1014,7073005.063,782.3452973,in,Sulfides,VLCL_BOTTOM,40.4,36.66,27.89,36428.0,0.971269035532995,3.2,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,2.78,0.697766497461929,250.0,100,0.0025,36.6,1.3,1.96,1600,13.399720812182741,0.8733164128595601,60.0,700,100.0,3.25,7.942571912013536,13.25,28.355,47.47690355329949,0.24,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_504,0.0,0.0,1.0,2.0,0.0,0.0,1.0,50.0,5.0,5.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
1037,399764.5889,7073004.728,780.4347417,in,Sulfides,VLCL_BOTTOM,5.9,14.31,3.66,4350.0,0.971269035532995,6.13,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,3.34,0.697766497461929,130.0,100,0.016,17.35,2.7,3.71,3100,13.399720812182741,0.8733164128595601,70.0,800,100.0,1.49,7.942571912013536,19.7,42.158,47.47690355329949,0.61,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_504,Fe1_T_a,Py_M1_504,0.0,1.0,1.0,2.0,0.0,0.0,1.0,15.0,5.0,5.0,0.0,0.0,1.0,0.0,15.0,0.7,0.0,0.0
1038,399766.0506,7073003.673,774.7119389,in,Sulfides,VLCL_BOTTOM,78.4,56.66,55.2,92118.0,0.971269035532995,1.4,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,1.38,0.697766497461929,130.0,100,0.079,56.9,0.4,0.64,1000,13.399720812182741,0.8733164128595601,80.0,500,100.0,1.08,7.942571912013536,5.71,12.2194,47.47690355329949,0.12,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_302,0.0,0.0,1.0,2.0,1.0,1.0,0.0,50.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,2.0,1.0,0.0
1039,399768.0012,7073002.181,767.0981809,in,Sulfides,VLCL_BOTTOM,45.4,38.03,31.07,47525.0,0.971269035532995,2.96,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,3.27,0.697766497461929,310.0,100,0.036,39.1,1.1,1.77,1600,13.399720812182741,0.8733164128595601,70.0,500,100.0,2.56,7.942571912013536,11.8,25.252,47.47690355329949,0.17,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_302,0.0,1.0,1.0,3.0,0.7,0.7,1.0,55.0,2.0,2.0,0.0,0.0,0.0,0.0,55.0,1.0,1.0,0.0
1040,399769.9474,7073000.583,759.5050299,in,Sulfides,VLCL_BOTTOM,52.4,44.6,36.41,62528.0,0.971269035532995,2.26,100.0,0.023,211.6751269035533,0.8385871404399322,5.992868020304568,1.18,0.697766497461929,730.0,100,0.154,41.6,0.4,1.68,1100,13.399720812182741,0.8733164128595601,90.0,700,100.0,4.46,7.942571912013536,13.05,27.927,47.47690355329949,0.18,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_904,Fe1_T_a,Py_M1_302,0.0,1.0,1.0,2.0,0.5,0.5,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
1041,399772.3709,7072998.442,750.042355,in,Sulfides,VLCL_BOTTOM,59.4,47.31,40.83,69248.0,0.971269035532995,1.71,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,1.58,0.697766497461929,900.0,100,0.015,46.6,0.7,0.89,900,13.399720812182741,0.8733164128595601,100.0,600,100.0,6.72,7.942571912013536,10.55,22.577,47.47690355329949,0.13,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_804,Fe1_T_a,Py_M1_504,0.0,1.0,1.0,2.0,0.3,0.3,1.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,1.0,0.0,0.0
1042,399773.3364,7072997.549,746.2647712,in,Sulfides,VLCL_BOTTOM,54.5,44.0,37.71,59835.0,0.971269035532995,2.68,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,1.59,0.697766497461929,500.0,100,0.005,42.2,0.7,1.37,1200,13.399720812182741,0.8733164128595601,70.0,500,100.0,4.42,7.942571912013536,12.4,26.536,47.47690355329949,0.21,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_804,Fe1_T_a,Py_M1_504,0.0,1.0,1.0,2.0,0.2,0.2,1.0,35.0,0.5,0.5,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0
1043,399774.2931,7072996.634,742.4901498,in,Sulfides,VLCL_BOTTOM,24.8,25.78,16.89,22275.0,0.971269035532995,3.38,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,4.65,0.697766497461929,490.0,100,0.0025,29.6,0.6,1.34,1200,13.399720812182741,0.8733164128595601,60.0,600,100.0,8.18,7.942571912013536,14.45,30.923,47.47690355329949,0.25,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_804,Fe1_T_a,Py_M1_504,0.0,1.0,1.0,2.0,0.2,0.2,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0
1044,399776.6566,7072994.266,733.0665626,in,Sulfides,VLCL_BOTTOM,37.8,36.09,26.1,36570.0,0.971269035532995,3.9,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,3.46,0.697766497461929,510.0,100,0.008,32.8,0.9,2.08,1500,13.399720812182741,0.8733164128595601,90.0,900,100.0,6.81,7.942571912013536,14.75,31.565,47.47690355329949,0.25,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_504,Fe1_T_a,Py_M1_504,0.0,1.0,1.0,2.0,0.0,0.0,1.0,10.0,0.3,0.3,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0
1045,400163.9178,7073164.849,1046.838239,out,Mixture,VLCL_TOP,20.6,27.85,13.81,5316.0,0.971269035532995,4.28,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,3.82,0.697766497461929,190.0,100,0.022,28.6,1.2,1.98,1300,13.399720812182741,0.8733164128595601,60.0,1000,100.0,0.03,7.942571912013536,15.75,33.705,47.47690355329949,0.35,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_221,Fe1_T_e,Py_M1_504,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
1046,400163.642,7073163.831,1022.86202,out,Sulfides,VLCL_TOP,5.4,17.96,3.57,1102.0,0.971269035532995,6.13,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,4.29,0.697766497461929,20.0,100,0.0025,18.3,2.3,2.97,2600,13.399720812182741,0.8733164128595601,70.0,700,100.0,0.03,7.942571912013536,18.55,39.697,47.47690355329949,0.44,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_221,Fe1_T_d,Py_M1_504,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,8.0,6.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0
1047,400163.472,7073163.408,1014.875028,out,Sulfides,VLCL_TOP,3.8,11.87,2.53,1096.0,0.971269035532995,6.84,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,6.05,0.697766497461929,20.0,100,0.01,13.85,1.4,1.82,3000,13.399720812182741,0.8733164128595601,50.0,300,100.0,0.01,7.942571912013536,20.1,43.014,47.47690355329949,0.56,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_221,Fe1_T_d,Py_M1_504,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0
1048,400163.2748,7073162.95,1006.890581,out,Sulfides,VLCL_TOP,17.8,22.37,12.29,9057.0,0.971269035532995,5.7,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,2.91,0.697766497461929,40.0,100,0.005,23.5,1.6,1.98,2500,13.399720812182741,0.8733164128595601,50.0,400,100.0,0.5,7.942571912013536,16.95,36.273,47.47690355329949,0.39,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_221,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.8,0.0,0.0,0.0,0.0,0.8,5.0,3.0,0.0,1.0
1049,400163.1189,7073162.582,1000.903959,out,Sulfides,ANDE_LOWER,7.6,10.81,3.88,3832.0,0.971269035532995,7.47,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,3.23,0.697766497461929,30.0,100,0.035,13.05,2.0,3.38,3100,13.399720812182741,0.8733164128595601,50.0,800,100.0,0.18,7.942571912013536,22.8,48.792,47.47690355329949,0.81,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_304,Fe1_T_e,Py_M1_304,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8,0.2,0.8,0.0,0.0,0.0,0.2,0.1,1.0,0.0,1.0
1050,400162.8629,7073161.949,990.9272972,out,Sulfides,ANDE_LOWER,16.68,13.18,14.050012522848988,11568.0,0.971269035532995,6.43,100.0,0.06503138528138527,211.6751269035533,0.8385871404399322,5.992868020304568,4.28,0.697766497461929,290.0,100,0.018,13.45,0.7,2.47,1900,13.399720812182741,0.8733164128595601,50.0,1900,100.0,1.26,7.942571912013536,23.2,49.648,47.47690355329949,1.77,104.61844331641286,11.346446700507615,100,Cu_M_504,Fe1_M1_304,Fe1_T_a,Py_M1_304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.2,0.0,0.2,0.0,0.0,0.0,8.0,0.2,0.0,1.0
