,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,DTT_Mass_Recovery,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
615,399967.51,7073228.61,789.09,67.3,in,68.09,75250,1.88,2.13,48.6,0.28,1.4,0.47,630,0.5,13.86349522,0.34,0.8
616,399967.51,7073228.61,787.09,61.25,in,39.1,32040,4.64,2.11,32,0.42,2.31,1.63,1580,0.45,13.86349522,0.83,0.5
617,399967.51,7073228.61,775.09,66.9,in,50.26,48998,3.46,2.82,37.8,1.01,2.46,0.27,550,0.31,13.86349522,0.34,0.3
618,399967.51,7073228.61,769.09,58.43,in,31.2,24515,5.78,2.68,25.6,1.12,2.51,1.55,1020,0.25,13.86349522,0.61,0.1
619,399967.51,7073228.61,761.09,56.79,in,22.2,17678,6.2,1.11,20.3,2.13,2.96,0.94,850,0.18,13.86349522,0.5,0.3
620,399967.51,7073228.61,759.09,55.38,in,36.7,29183,5.24,2.59,26.4,1.21,2.27,1.62,1050,0.29,13.86349522,0.74,0.1
621,399967.51,7073228.61,751.09,53.8,in,14.62,11228,8.34,2.42,14.7,1.38,2.79,3.08,1930,0.25,13.86349522,1.15,0.2
622,399967.51,7073228.61,747.09,53.93,in,39.1,28843,5.51,2.46,25.1,0.29,1.75,2.68,1830,0.14,13.86349522,1.15,0.1
630,400018.6783,7073134.989,843.0458373,59.6,in,20.11,15150,7.2,1.69,19.3,1.02,3.45,2.28,440,0.1,13.86349522,0.61,0
631,400018.9878,7073134.893,837.0545878,69.56,in,63.7,56765,1.7,3.44,47.9,0.28,1.76,0.48,1670,0.49,13.86349522,0.14,0.2
632,400019.2974,7073134.798,831.0633384,69.74,in,81.2,86435,0.95,0.93,57,0.13,0.95,0.21,260,0.56,13.86349522,0.11,0.3
633,400019.8133,7073134.639,821.0779227,70.94,in,84.9,110000,0.61,1.31,59.2,0.08,0.5,0.23,460,3.04,13.86349522,0.09,0.4
710,400176.6336,7073711.589,912.9656197,45.38,in,34.3,26365,5.98,2.68,20.4,0.8,1.36,0.873316413,1900,1,19.75,1.65,1
711,400177.0868,7073711.8,912.0995943,45.38,in,34.3,26365,5.98,2.68,20.4,0.8,1.36,0.873316413,1900,1,19.75,1.65,0.1
742,400011.2759,7073395.335,870.1527798,54.16,in,41,32370,4.4,3.24,28,0.7,2.62,0.873316413,1400,0.08,17.05,0.95,0.1
743,400011.6564,7073395.403,869.2304853,54.16,in,41,32370,4.4,3.24,28,0.7,2.62,0.873316413,1400,0.08,17.05,0.95,0.2
744,400012.8943,7073395.625,866.2337128,53.77,in,35.6,26838,4.83,5.16,24.8,0.9,2.12,0.873316413,1000,0.16,16.55,0.65,0.2
