,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
503,400061.2709,7073269.039,949.6253154,70.05,in,VLCL_TOP,78.3,57.07,89508,0.59,4.64,54.6,0.04,0.47,0.09,220,0.15,13.86349522,0.02,3
504,400061.2612,7073268.998,947.6257516,70.68,in,VLCL_TOP,72.7,53.49,77723,0.7,5.42,50.5,0.03,0.7,0.1,250,0.27,13.86349522,0.03,1
505,400061.2164,7073268.805,937.6277155,69.16,in,VLCL_TOP,68.2,49.61,75345,1.62,2.41,50.1,0.25,1.35,0.3,410,0.15,13.86349522,0.2,0
506,400061.2062,7073268.77,935.6280568,67.5,in,VLCL_TOP,72.22,28.96681689,80238,1.17,1.02,49.4,0.05,0.9,0.31,220,0.39,13.86349522,0.12,1
507,400061.1697,7073268.671,929.6289796,61.56,in,VLCL_TOP,37.8,28.99,35480,5.57,1.9,28.2,0.33,2.94,1.88,910,0.06,13.86349522,0.59,1
508,400061.1548,7073268.641,927.62926,70,in,ANLT,43.75,28.96681689,30725,5.3,2.19,24.7,0.35,2.5,2.04,1150,0.07,13.86349522,0.69,0
509,400061.0995,7073268.56,921.6300593,58.45,in,VLCL_BOTTOM,32,22.69,25370,6.12,2.93,23.2,0.25,1.8,3.2,1860,0.09,13.86349522,1.21,1
510,400061.0309,7073268.491,915.6308554,37.78,in,VLCL_BOTTOM,20.9,14.46,12768,6.4,2.55,14.45,0.24,2.62,2.93,2050,0.11,13.86349522,1.45,0.5
511,400061.0061,7073268.469,913.6311288,59.21,in,VLCL_BOTTOM,40.3,26.93,34715,5.06,2.92,28.6,0.25,2.37,2.4,1420,0.17,13.86349522,0.99,0.5
512,400060.871,7073268.364,903.6325984,69.69,in,VLCL_BOTTOM,69,49.32,72260,0.9,3.34,51.8,0.05,2.17,0.21,40,0.05,13.86349522,0.02,0
513,400060.7246,7073268.248,893.6343457,59.97,in,VLCL_BOTTOM,51.3,32.83,50553,3.45,3.39,35.2,0.35,2.28,1.54,1180,0.06,13.86349522,0.68,0
514,400060.5576,7073268.115,883.6366308,54.19,in,VLCL_BOTTOM,32.4,21.48,26890,5.66,3.67,23.3,1.27,3.46,1.81,1210,0.12,13.86349522,0.66,0
515,400060.3804,7073268.017,875.6391987,58.17,in,VLCL_BOTTOM,34.6,24.46,28178,4.97,4.01,27.3,0.63,3.64,1.63,870,0.2,13.86349522,0.56,1
516,400060.3297,7073267.992,873.640004,55.94,in,VLCL_BOTTOM,41.4,25.72,32963,4.86,3.81,28.4,0.4,3.1,2.21,1100,0.26,13.86349522,0.62,1
517,400060.1063,7073267.888,865.6438034,60.04,in,VLCL_BOTTOM,29.3,22.39,26503,5.94,2.65,24.9,0.58,3.1,2.47,970,0.13,13.86349522,0.67,1
518,400059.474,7073267.675,847.6563898,55.97,in,ANDE_LOWER,29.7,21.48,25013,6.07,3.49,23.4,1.28,3.77,1.98,1010,0.28,13.86349522,0.67,0
519,400059.3858,7073267.652,845.6584737,58.72,in,ANDE_LOWER,25.31,22.08,22628,6.5,2.92,22,1.3,3.45,2.19,850,0.34,13.86349522,0.74,1
520,400059.105,7073267.577,839.6655163,54.01,in,ANDE_LOWER,27,19.06,20100,6.4,3.02,21.3,1.45,3.33,2.23,1040,0.25,13.86349522,0.69,0
521,400058.6812,7073267.471,831.6774796,58.25,in,ANDE_LOWER,47.2,30.61,43208,4.58,2.74,31.4,0.56,2.62,2.11,1230,0.27,13.86349522,0.83,2
522,400058.5653,7073267.444,829.6810237,61.72,in,ANDE_LOWER,32.9,24.21,28680,5.56,2.43,25.6,0.36,2.12,3.02,1470,0.85,13.86349522,0.72,1
523,400058.3195,7073267.392,825.6889173,57.08,in,ANDE_LOWER,33.08,23.05,30100,5.09,3.24,25.6,0.9,3.01,2.14,1250,0.36,13.86349522,0.72,1
524,400057.9151,7073267.325,819.7029539,51.13,in,ANDE_LOWER,19.6,16.19,14790,6.13,2.09,17.5,0.8,3.13,2.56,780,0.18,13.86349522,0.63,1
525,400057.3345,7073267.236,811.7245526,58.55,in,ANDE_LOWER,28.8,21.94,25125,5.47,3.1,23.6,1.03,3.39,1.86,1120,0.33,13.86349522,0.75,0.5
526,400056.572,7073267.171,801.7539408,59.3,in,ANDE_LOWER,28.6,20.88,24903,5.5,2.47,21.9,1.81,2.53,1.99,900,0.35,13.86349522,0.52,1
527,400055.9475,7073267.187,793.7783794,57.64,in,ANDE_LOWER,36.4,25.26,31245,4.19,1.45,25.9,0.3,2.14,1.7,1160,0.24,13.86349522,0.85,1
528,400055.1481,7073267.229,783.8104746,55.07,in,ANDE_LOWER,22.4,19.06,17228,6.01,2.75,18.8,0.61,2.99,2.08,910,0.24,13.86349522,0.74,0
529,400054.489,7073267.254,775.8377139,63.08,in,ANDE_LOWER,4.2,8.17,3943,7.31,1.85,8.01,1.07,2.77,3.35,750,0.19,13.86349522,0.63,0
530,399976.8679,7073450.422,959.5417119,70.75,in,VLCL_TOP,71.83,54.85,73368,1.1,4.57,53.1,0.02,0.6,0.06,290,0.21,13.86349522,0.01,0.6
531,399977.0049,7073449.879,933.5478321,58.48,in,VLCL_TOP,43,29.85,32183,5.29,3,30.7,0.58,1.73,1.98,1230,0.08,13.86349522,0.75,0.5
532,399977.02,7073449.842,931.5482303,56.73,in,VLCL_TOP,40.1,26.32,31320,5.7,3.08,27.7,0.65,1.64,2.38,1310,0.07,13.86349522,0.82,0.5
533,399977.0501,7073449.769,927.5490268,62.43,in,VLCL_TOP,35.55,27.86,27848,5.86,2.93,26.3,0.65,1.91,2.58,1430,0.04,13.86349522,0.86,0.5
534,399977.0803,7073449.695,923.5498232,66.72,in,VLCL_TOP,54.6,39.48,47560,3.33,3.34,41.8,0.26,1.41,1.17,880,0.17,13.86349522,0.41,0.5
535,399977.1557,7073449.51,913.5518144,52.95,in,VLCL_TOP,36.7,22.24,26943,6.09,4.48,23.3,0.3,1.7,3.26,1590,0.06,13.86349522,0.95,1
536,399977.2763,7073449.214,897.5550003,42.77,in,ANLT,35.8,18.15,21640,7.26,2.85,17.4,0.49,1.52,4.75,2020,0.02,13.86349522,1.26,0.3
537,399977.397,7073448.919,881.5581861,57.03,in,VLCL_BOTTOM,39.3,25.16,31645,6.06,3.96,23.8,0.42,1.84,3.22,1320,0.09,13.86349522,0.75,0.5
538,399977.4573,7073448.771,873.5597791,55.52,in,VLCL_BOTTOM,38.2,24.4,26470,7.1,3.38,20.6,0.29,1.37,4.5,1910,0.06,13.86349522,1,0.3
539,399977.5176,7073448.623,865.561372,67.62,in,VLCL_BOTTOM,70.9,49.63,78783,0.91,5.06,49.5,0.06,0.53,0.28,280,0.21,13.86349522,0.1,1.5
540,399977.7438,7073448.069,835.5673455,52.19,in,VLCL_BOTTOM,39.3,22.88,34585,5.99,3.7,22.4,0.27,1.19,3.78,1890,0.14,13.86349522,1.12,1
541,399977.8041,7073447.921,827.5689384,70,in,VLCL_BOTTOM,80.88,28.96681689,99285,0.43,3.11,60.6,0.04,0.71,0.11,120,0.15,13.86349522,0.02,0.2
542,399977.8795,7073447.736,817.5709296,68.98,in,VLCL_BOTTOM,72.4,51.54,84955,0.81,3.47,54.1,0.05,1.3,0.19,60,0.43,13.86349522,0.03,0.5
543,399977.9549,7073447.552,807.5729207,46.6,in,VLCL_BOTTOM,45.3,24.78,32608,5.52,2.34,26.3,0.62,1.66,3.03,1290,0.21,13.86349522,0.88,0.4
544,399978.0605,7073447.293,793.5757084,68.08,in,VLCL_BOTTOM,64.4,45.91,62318,1.75,2.51,48.4,0.17,2.3,0.6,520,0.24,13.86349522,0.25,0.5
545,399978.1057,7073447.182,787.5769031,71.04,in,VLCL_BOTTOM,83.68,61.94,103900,0.54,1.82,61,0.04,0.82,0.13,70,0.99,13.86349522,0.03,0.5
546,399978.1321,7073447.117,784.0776,70.35,in,VLCL_BOTTOM,72.1,51.83,71973,0.63,4.27,52.1,0.04,1.17,0.17,430,0.27,13.86349522,0.08,1
547,399978.1396,7073447.099,783.0777991,70.35,in,VLCL_BOTTOM,72.1,51.83,71973,0.63,4.27,52.1,0.04,1.17,0.17,430,0.27,13.86349522,0.08,0
548,399978.1811,7073446.997,777.5788942,70,in,VLCL_BOTTOM,66.29,28.96681689,61440,1.07,3.23,50.6,0.06,2.15,0.3,100,0.58,13.86349522,0.04,1
549,399978.2414,7073446.849,769.5804871,58.13,in,VLCL_BOTTOM,37.8,24.78,30438,3.62,4.78,28.5,0.44,4.08,1.45,1230,0.12,13.86349522,0.4,0.2
550,399978.3168,7073446.665,759.5824783,62.86,in,ANDE_LOWER,46.56,35.52,44758,2.52,4.06,34.6,0.25,3.38,1.06,1220,0.4,13.86349522,0.42,0.3
551,399978.3621,7073446.554,753.583673,56.99,in,ANDE_LOWER,47.4,29.11,44523,3.87,3.58,32.6,0.48,3.52,1.78,1170,0.25,13.86349522,0.51,0.5
552,400016.5594,7073365.984,948.6738742,48.68,out,ANDE_UPPER,12.7,21.96,6676,6.08,4.07,22.8,1,1.39,2.53,1810,0.04,13.86349522,1.09,0.1
553,400016.4375,7073366.099,944.6773906,65.61,in,VLCL_TOP,43.9,36.15,41553,3.28,6.1,37,0.69,1.6,0.73,870,3.47,13.86349522,0.34,5
554,400016.3789,7073366.153,942.6789849,69.18,in,VLCL_TOP,60,47.88,55408,1.56,4.61,49.8,0.18,1.01,0.24,680,5.56,13.86349522,0.11,10
555,400016.0875,7073366.423,932.6868841,66.58,in,VLCL_TOP,28.6,28.28,24968,3.88,3.31,30.3,0.86,2.45,0.42,770,3.17,13.86349522,0.28,8
556,400015.8544,7073366.639,924.6932035,69.18,in,VLCL_TOP,72.3,52.52,58600,1.01,4.04,52.7,0.09,0.66,0.17,480,0.36,13.86349522,0.07,5
557,400015.5047,7073366.964,912.7026826,56.38,in,VLCL_TOP,39.1,26.07,31210,4.51,1.91,25.7,1.51,2.45,1.11,1030,0.07,13.86349522,0.9,0.2
558,400015.3881,7073367.072,908.7058423,68.4,in,VLCL_TOP,60.76,28.96681689,61275,3.57,1.8,40.3,1.15,1.61,1.03,860,0.14,13.86349522,0.51,0.1
559,400015.2716,7073367.18,904.709002,69.89,in,VLCL_TOP,78.6,57.07,74615,0.58,4.38,55,0.04,0.56,0.12,190,0.1,13.86349522,0.02,0.1
560,400015.2133,7073367.234,902.7105818,69.7,in,VLCL_TOP,53,28.96681689,39558,1.75,7.06,41.4,0.21,1.49,0.39,310,0.07,13.86349522,0.13,0.1
561,400015.0967,7073367.342,898.7137415,55.14,in,ANDE_LOWER,34.27,24.23,25615,5.36,4.45,20.7,0.41,1.83,2.7,1660,0.09,13.86349522,0.84,0.3
562,400014.9802,7073367.45,894.7169012,45.63,in,ANDE_LOWER,32.9,18.54,20930,6.21,3.41,18.45,0.39,2.26,3.42,2290,0.05,13.86349522,1.33,0.1
563,400014.6888,7073367.72,884.7248004,57.75,in,ANDE_LOWER,33.6,22.19,27193,4.46,6.77,23.5,0.36,1.66,2.36,1580,0.47,13.86349522,0.9,0.3
564,400014.3974,7073367.99,874.7326996,65.98,in,ANDE_LOWER,45.1,31.92,35863,2.47,8.9,31.6,0.26,1.83,1.01,680,0.08,13.86349522,0.35,0.2
565,400014.1642,7073368.207,866.739019,52.73,in,ANDE_LOWER,37.9,23.03,21485,5.46,4.21,24.6,0.72,2.56,2.3,1250,0.12,13.86349522,0.76,0.2
566,400014.1059,7073368.261,864.7405989,56.53,in,ANDE_LOWER,45.7,28.8,34495,5,3.06,30.1,0.68,2.04,2.43,1530,0.09,13.86349522,0.99,0.2
567,400013.8728,7073368.477,856.7469182,51.04,in,ANDE_LOWER,28.6,19.91,20723,6.96,2.55,21.6,0.73,2.72,3.22,1110,0.18,13.86349522,0.78,0.3
568,400013.5814,7073368.747,846.7548175,52.41,in,ANDE_LOWER,35.3,21.28,21068,5.13,4.44,23.6,0.3,1.86,2.95,1730,0.09,13.86349522,1.1,0.1
569,400013.5231,7073368.801,844.7563973,55.66,in,ANDE_LOWER,21.49,17.62,13688,6.35,4.16,17.4,0.86,2.49,3.1,2140,0.06,13.86349522,1.34,0.1
570,400013.3483,7073368.963,838.7611368,52.87,in,ANDE_LOWER,20,15.05,14840,6.58,5,16.7,1.1,2.78,2.86,2330,0.09,13.86349522,1.08,0.1
571,400013.1151,7073369.179,830.7674562,53.57,in,ANDE_LOWER,31.4,21.38,24273,6.19,2.87,22.1,0.97,2.36,2.78,1070,0.1,13.86349522,0.68,0.3
572,400013.0569,7073369.233,828.7690361,46.09,in,ANDE_LOWER,41.1,21.94,31195,5.88,2.72,24.5,0.61,1.82,3.16,1720,0.07,13.86349522,1.15,0.4
573,400012.7655,7073369.503,818.7769353,52.34,in,ANDE_LOWER,29.3,19.66,21183,5.59,3.32,21.9,0.71,2.56,2.62,1580,0.14,13.86349522,1,0.2
574,400012.5323,7073369.72,810.7832547,50.38,in,ANDE_LOWER,35.3,20.34,26358,5.33,4.13,23.3,0.49,1.98,2.94,1550,0.14,13.86349522,1.05,0.1
575,400012.2409,7073369.99,800.7911539,48.86,in,ANDE_LOWER,32.2,18.89,23103,6.45,3.04,21.4,0.52,2.35,3.64,1670,0.1,13.86349522,1,0.2
576,400012.0078,7073370.206,792.7974733,52.04,in,ANDE_LOWER,32.6,21.18,24403,5.64,2.74,23.8,0.51,2.34,2.87,1100,0.27,13.86349522,0.68,0.1
577,400011.7164,7073370.476,782.8053725,51.13,in,ANDE_LOWER,39.6,23.62,30355,5.7,2.53,26.2,0.64,2.05,3.01,1330,0.13,13.86349522,0.89,0.1
578,400011.425,7073370.746,772.8132717,24.51,out,ANDE_LOWER,20.6,8.53,7456,8.54,3.15,10.2,0.91,2.69,4.58,1420,0.08,13.86349522,0.93,0.1
579,399939.7869,7073536.815,930.6051673,50.71,in,ANDE_UPPER,26.51,20.41,18168,5.77,5.23,19.85,0.43,3.48,2.55,1560,0.24,13.86349522,0.86,0.2
580,399954.1747,7073522.065,782.0391285,53.29,in,ANDE_UPPER,28.23,19.39,23348,5.87,7.56,20.5,0.24,1.67,3.08,1410,0.1,13.86349522,0.79,0.2
581,399954.9497,7073521.175,774.1266552,52.62,in,ANDE_UPPER,37.35,23.66,32585,5.13,7.34,24.2,0.38,1.73,2.27,1570,0.6,13.86349522,0.72,0.2
583,400066.89,7073493.21,937.35,48.82,in,ANLT,32.2,21.54,19935,6.67,2.57,22.5,0.36,2.4,3.02,1330,0.16,13.86349522,0.78,1
584,400066.89,7073493.21,935.35,46.14,in,ANLT,36.5,21.48,26495,6.37,3.2,22.8,0.29,1.75,3.25,1360,0.13,13.86349522,0.82,2
585,400066.89,7073493.21,927.35,57.03,in,VLCL_BOTTOM,14.6,13.87,12355,5.52,7.23,13.65,0.1,1.87,2.35,1320,0.21,13.86349522,0.62,0.1
586,400066.89,7073493.21,919.35,51.59,in,VLCL_BOTTOM,26.7,18.13,21463,6.73,2.8,18.5,0.18,1.47,3.74,1940,0.05,13.86349522,1.06,0.1
587,400066.89,7073493.21,893.35,67.47,in,VLCL_BOTTOM,27.4,24.53,23468,4.87,3.34,28.2,0.12,2.06,2.07,1020,0.15,13.86349522,0.33,0.5
588,400066.89,7073493.21,873.35,64.6,in,VLCL_BOTTOM,21.71,28.96681689,20343,4.82,6.09,20.3,0.96,1.98,1.32,890,0.2,13.86349522,0.26,0.5
589,400066.89,7073493.21,863.35,56.64,in,VLCL_BOTTOM,11.9,13.38,11518,7.77,2.85,13.9,0.71,2.16,3.79,950,0.08,13.86349522,0.48,0.1
590,400066.89,7073493.21,861.35,64.3,in,VLCL_BOTTOM,2.2,7.24,1750,8.6,2.59,7.13,0.16,2.07,4.91,870,0.06,13.86349522,0.43,0.1
591,400066.89,7073493.21,851.35,58.24,in,VLCL_BOTTOM,46.5,30.7,40903,4.94,2.68,31,0.24,1.06,2.64,1110,0.13,13.86349522,0.79,0.2
592,400066.89,7073493.21,843.35,66.87,in,VLCL_BOTTOM,66.9,47.22,71915,2.77,1.74,47,0.24,0.79,1.26,670,0.2,13.86349522,0.21,0.5
593,400066.89,7073493.21,829.35,64.07,in,VLCL_BOTTOM,48.4,33.98,41845,5.88,2.14,31.5,0.33,1.61,3.06,930,0.26,13.86349522,0.6,0.1
594,400066.89,7073493.21,824.1,65.84,in,VLCL_BOTTOM,54.5,39.08,19310,3.36,18.1,17.85,0.14,1.29,1.38,360,0.17,13.86349522,0.22,0.5
595,400066.89,7073493.21,823.1,65.84,in,VLCL_BOTTOM,54.5,39.08,19310,3.36,18.1,17.85,0.14,1.29,1.38,360,0.17,13.86349522,0.22,2.483919278
596,400066.89,7073493.21,821.35,65.9,in,ANDE_LOWER,19.2,18.36,13393,8.1,3.46,16.45,0.19,3.24,3.93,780,0.41,13.86349522,0.49,0.1
597,400066.89,7073493.21,815.35,48.21,in,ANDE_LOWER,25.9,16.91,16668,7.64,3.23,15.9,0.36,2.75,4.3,1630,0.08,13.86349522,1.26,0.1
598,399967.51,7073228.61,925.09,65.75,in,VLCL_TOP,4,8.62,4181,5.94,1.91,8.56,0.81,0.8,2.16,260,0.44,13.86349522,0.22,0
599,399967.51,7073228.61,919.09,65.44,in,VLCL_TOP,3.6,7.72,3029,6.18,3.6,8.24,0.86,0.65,1.88,280,0.38,13.86349522,0.21,0
600,399967.51,7073228.61,911.09,58.86,in,VLCL_TOP,37.8,30.92,29405,1.77,7.73,32.5,0.04,1.1,0.04,410,2.45,13.86349522,0.13,3
601,399967.51,7073228.61,909.84,59.04,in,VLCL_TOP,49.2,37.22,37908,2.68,4.87,37.2,0.04,2.11,0.05,540,1.91,13.86349522,0.27,3
602,399967.51,7073228.61,908.84,59.04,in,VLCL_TOP,49.2,37.22,37908,2.68,4.87,37.2,0.04,2.11,0.05,540,1.91,13.86349522,0.27,0.2
603,399967.51,7073228.61,901.09,60.26,in,VLCL_TOP,39.3,34.19,31400,1.61,4.14,36.5,0.03,1.28,0.02,650,4.5,13.86349522,0.08,8
604,399967.51,7073228.61,883.09,64.83,in,VLCL_TOP,33.2,30.41,25508,2.24,3.83,30.5,0.13,1.8,0.03,880,0.73,13.86349522,0.09,2
605,399967.51,7073228.61,875.09,54.54,in,ANLT,7.5,15.73,5746,7.97,1.76,16.1,2.56,4.97,0.59,950,0.56,13.86349522,0.94,0.3
606,399967.51,7073228.61,867.09,44.91,in,ANLT,6.5,17.54,4965,7.62,1.9,18.25,1.8,5.73,0.2,810,0.6,13.86349522,0.89,0.1
607,399967.51,7073228.61,865.09,47.29,in,ANLT,8.36,16.79,6357,7.81,1.74,17.25,1.4,4.81,1.14,970,0.37,13.86349522,0.94,0.1
608,399967.51,7073228.61,857.09,56.29,in,ANLT,5.2,15.73,5069,7.8,1.64,16.9,0.97,4.81,1.36,780,0.93,13.86349522,0.86,0.1
609,399967.51,7073228.61,847.09,64.53,in,VLCL_BOTTOM,4.4,16.94,2850,5.82,5.74,16.9,0.65,4.64,0.18,550,0.8,13.86349522,0.52,0.1
610,399967.51,7073228.61,839.09,67.27,in,VLCL_BOTTOM,14.1,19.06,11800,6.3,2.68,20.6,1.16,3.83,0.98,860,0.4,13.86349522,0.63,0.2
611,399967.51,7073228.61,833.09,54.74,in,ANDE_LOWER,28.85,24.35,19753,5.47,4.1,22,0.89,3.09,1.04,1610,0.17,13.86349522,0.88,0.2
612,399967.51,7073228.61,823.09,60.93,in,ANDE_LOWER,31.7,25.85,20750,4.72,2.44,27.6,1.35,2.36,0.82,910,0.35,13.86349522,0.62,0.3
613,399967.51,7073228.61,821.09,65.29,in,ANDE_LOWER,46.9,35.55,42728,3.91,2.4,32.9,0.78,1.97,0.86,890,0.33,13.86349522,0.59,0.8
614,399967.51,7073228.61,813.09,63.77,in,ANDE_LOWER,46.1,33.74,45805,3.26,2.87,32.4,0.64,2.51,0.24,740,0.53,13.86349522,0.48,0.3
615,399967.51,7073228.61,789.09,67.3,in,ANDE_LOWER,68.09,28.96681689,75250,1.88,2.13,48.6,0.28,1.4,0.47,630,0.5,13.86349522,0.34,0.8
616,399967.51,7073228.61,787.09,61.25,in,ANDE_LOWER,39.1,28.89,32040,4.64,2.11,32,0.42,2.31,1.63,1580,0.45,13.86349522,0.83,0.5
617,399967.51,7073228.61,775.09,66.9,in,ANDE_LOWER,50.26,28.96681689,48998,3.46,2.82,37.8,1.01,2.46,0.27,550,0.31,13.86349522,0.34,0.3
618,399967.51,7073228.61,769.09,58.43,in,ANDE_LOWER,31.2,24.21,24515,5.78,2.68,25.6,1.12,2.51,1.55,1020,0.25,13.86349522,0.61,0.1
619,399967.51,7073228.61,761.09,56.79,in,ANDE_LOWER,22.2,20,17678,6.2,1.11,20.3,2.13,2.96,0.94,850,0.18,13.86349522,0.5,0.3
620,399967.51,7073228.61,759.09,55.38,in,ANDE_LOWER,36.7,25.52,29183,5.24,2.59,26.4,1.21,2.27,1.62,1050,0.29,13.86349522,0.74,0.1
621,399967.51,7073228.61,751.09,53.8,in,ANDE_LOWER,14.62,28.96681689,11228,8.34,2.42,14.7,1.38,2.79,3.08,1930,0.25,13.86349522,1.15,0.2
622,399967.51,7073228.61,747.09,53.93,in,ANDE_LOWER,39.1,24.99,28843,5.51,2.46,25.1,0.29,1.75,2.68,1830,0.14,13.86349522,1.15,0.1
623,400011.8319,7073136.79,986.8648435,69.41,in,VLCL_TOP,75.3,57.89,94220,0.38,2.18,57.5,0.07,0.18,0.04,200,3.86,13.86349522,0.03,2.5
624,400012.4952,7073136.752,964.8751828,38.82,in,ANLT,4.1,11.29,3489,8.52,2.98,13.1,2.62,5.43,0.63,860,0.21,13.86349522,1,0.2
625,400015.2733,7073136.039,908.9495812,67.12,in,VLCL_BOTTOM,5.9,11.98,5070,7.51,2.46,12.95,1.24,2.95,2.63,900,0.08,13.86349522,0.54,0.1
626,400015.686,7073135.912,900.9612486,67.22,in,VLCL_BOTTOM,14.4,17.08,8293,6.34,1.88,18.05,1.79,2.24,2.04,1090,0.39,13.86349522,0.41,0
627,400015.7892,7073135.88,898.9641654,70.94,in,VLCL_BOTTOM,69,52.48,124325,1.59,1.57,53.2,0.07,0.75,0.6,400,1.01,13.86349522,0.09,0.5
628,400016.3051,7073135.721,888.9787497,70.71,in,VLCL_BOTTOM,52.7,40.5,50335,3.18,1.76,39,0.99,1.4,0.87,380,0.23,13.86349522,0.23,0.1
629,400016.821,7073135.562,878.993334,45.16,in,VLCL_BOTTOM,33.1,19.37,25360,5.68,3.37,21.1,0.65,2.39,2.84,1320,0.16,13.86349522,1.32,0.4
630,400018.6783,7073134.989,843.0458373,59.6,in,ANDE_LOWER,20.11,19.24,15150,7.2,1.69,19.3,1.02,3.45,2.28,440,0.1,13.86349522,0.61,0
631,400018.9878,7073134.893,837.0545878,69.56,in,ANDE_LOWER,63.7,46.07,56765,1.7,3.44,47.9,0.28,1.76,0.48,1670,0.49,13.86349522,0.14,0.2
632,400019.2974,7073134.798,831.0633384,69.74,in,ANDE_LOWER,81.2,58.28,86435,0.95,0.93,57,0.13,0.95,0.21,260,0.56,13.86349522,0.11,0.3
633,400019.8133,7073134.639,821.0779227,70.94,in,ANDE_LOWER,84.9,61.63,110000,0.61,1.31,59.2,0.08,0.5,0.23,460,3.04,13.86349522,0.09,0.4
639,400070.4967,7073993.271,950.0277572,68.58,in,VLCL_TOP,27.9,46.2,25918,3.05,2.35,44.4,0.5,1.11,0.873316413,900,1.32,9.66,0.25,8
640,400070.9498,7073993.483,949.1617318,68.58,in,VLCL_TOP,27.9,46.2,25918,3.05,2.35,44.4,0.5,1.11,0.873316413,900,1.32,9.66,0.25,0.8
643,400080.0469,7073997.725,931.7762718,68.35,in,VLCL_TOP,37.2,43.07,35743,2.74,1.69,41.8,0.7,1.1,0.873316413,1000,5.6,10.95,0.3,10
644,400080.457,7073997.916,930.9925188,68.35,in,VLCL_TOP,37.2,43.07,35743,2.74,1.69,41.8,0.7,1.1,0.873316413,1000,5.6,10.95,0.3,10
645,400080.9101,7073998.127,930.1264934,68.35,in,VLCL_TOP,37.2,43.07,35743,2.74,1.69,41.8,0.7,1.1,0.873316413,1000,5.6,10.95,0.3,0
646,400090.381,7074002.544,912.0265625,64.68,out,VLCL_TOP,2.8,17.41,1825,5.09,2.8,22.8,1.2,1.8,0.873316413,900,3.57,18.65,0.35,0.5
647,400090.8342,7074002.755,911.1605371,64.68,out,VLCL_TOP,2.8,17.41,1825,5.09,2.8,22.8,1.2,1.8,0.873316413,900,3.57,18.65,0.35,8
648,400092.93,7074003.732,907.1551696,67.2,out,VLCL_BOTTOM,19.3,26.8,14488,5.27,3.49,21.5,2.3,2.83,0.873316413,900,1.66,18.1,0.47,1
649,400093.2472,7074003.88,906.5489518,67.2,out,VLCL_BOTTOM,19.3,26.8,14488,5.27,3.49,21.5,2.3,2.83,0.873316413,900,1.66,18.1,0.47,3
650,400093.5191,7074004.007,906.0293366,67.2,out,VLCL_BOTTOM,19.3,26.8,14488,5.27,3.49,21.5,2.3,2.83,0.873316413,900,1.66,18.1,0.47,5
651,400095.4949,7074004.928,902.2534658,66.13,out,VLCL_BOTTOM,16.2,28.18,12230,3.84,2.33,32.5,1.2,2.46,0.873316413,1000,3.4,14.35,0.32,3
652,400095.7555,7074005.05,901.7555012,66.13,out,VLCL_BOTTOM,16.2,28.18,12230,3.84,2.33,32.5,1.2,2.46,0.873316413,1000,3.4,14.35,0.32,10
653,400096.1814,7074005.248,900.9414373,66.13,out,VLCL_BOTTOM,16.2,28.18,12230,3.84,2.33,32.5,1.2,2.46,0.873316413,1000,3.4,14.35,0.32,5
657,400097.4367,7074005.834,898.5425469,46.35,out,VLCL_BOTTOM,4.1,23.9,2087,5.01,2.96,23.7,1.2,1.9,0.873316413,1300,2.47,19.35,0.43,0
658,400097.8785,7074006.04,897.6981722,46.35,out,VLCL_BOTTOM,4.1,23.9,2087,5.01,2.96,23.7,1.2,1.9,0.873316413,1300,2.47,19.35,0.43,8
659,400098.1753,7074006.178,897.1309255,46.35,out,VLCL_BOTTOM,4.1,23.9,2087,5.01,2.96,23.7,1.2,1.9,0.873316413,1300,2.47,19.35,0.43,5
660,400100.0672,7074007.06,893.5152695,46.35,out,VLCL_BOTTOM,8,9.16,5439,6.13,3.82,13.05,0.5,2.93,0.873316413,1900,0.34,22.9,1.11,5
661,400100.5204,7074007.272,892.6492441,46.35,out,VLCL_BOTTOM,8,9.16,5439,6.13,3.82,13.05,0.5,2.93,0.873316413,1900,0.34,22.9,1.11,0.1
664,400116.6413,7074014.789,861.8403903,65.45,in,VLCL_BOTTOM,20.6,28.1,17810,4.62,2.49,31.3,0.9,2.51,0.873316413,700,2.52,14.7,0.34,8
665,400117.0945,7074015,860.9743649,65.45,in,VLCL_BOTTOM,20.6,28.1,17810,4.62,2.49,31.3,0.9,2.51,0.873316413,700,2.52,14.7,0.34,2
666,400117.6722,7074015.27,859.8701825,58.45,out,VLCL_BOTTOM,9.69,16.91,8659,6.73,2.98,17.2,2.6,3.6,0.873316413,700,1.56,20,0.5,2
680,400131.6037,7073690.591,999.0225641,65.83,out,VLCL_TOP,12,21.38,2581,4.68,4.03,22.9,0.7,1.52,0.873316413,1000,0.63,18.7,0.34,1
681,400132.0569,7073690.803,998.1565387,65.83,out,VLCL_TOP,12,21.38,2581,4.68,4.03,22.9,0.7,1.52,0.873316413,1000,0.63,18.7,0.34,1
682,400135.4646,7073692.392,991.6440276,67.58,out,VLCL_BOTTOM,11.8,15.73,9341,3.98,3.21,30.5,0.9,2.75,0.873316413,1000,2.02,14.15,0.36,3
