,mid_x,mid_y,mid_z,DTT_Fe_Conc_Grade,MAGSUS_MOD,UG_MOD,DTT_Mass_Recovery,Fe_pct_DTT,MS_Actual,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,P_ppm,S_pct,Si_pct,Ti_pct,Py
1806,399814.2615,7072496.365,1001.16962,47.2,out,VLCL_BOTTOM,3.8,19.3,2297.729035,4.8,3.76,23.6,1.75,1.76,0.14,450,1.76,16.7,0.25,3
1807,399814.2542,7072496.376,1000.519744,47.2,out,VLCL_BOTTOM,3.8,19.3,2297.729035,4.8,3.76,23.6,1.75,1.76,0.14,450,1.76,16.7,0.25,2
1808,399967.0466,7072778.754,1052.084425,15.96,out,ANDE_UPPER,19.9,9.56,3739.666431,6.83,3.2,8.67,1.63,1.99,2.99,2140,0.16,25,1.41,0.2
1809,399967.0286,7072778.762,1051.084614,15.96,out,ANDE_UPPER,19.9,9.56,3739.666431,6.83,3.2,8.67,1.63,1.99,2.99,2140,0.16,25,1.41,0.2
1816,399966.4775,7072779.124,1008.090017,56.6,out,VLCL_TOP,2.9,19.67,1594.817312,5.46,4.25,23.8,1.7,1.79,0.11,630,2.93,14.5,0.55,1.5
1817,399966.4758,7072779.126,1007.840031,56.6,out,VLCL_TOP,2.9,19.67,1594.817312,5.46,4.25,23.8,1.7,1.79,0.11,630,2.93,14.5,0.55,1.5
1818,399966.4702,7072779.133,1006.91508,56.6,out,VLCL_TOP,2.9,19.67,1594.817312,5.46,4.25,23.8,1.7,1.79,0.11,630,2.93,14.5,0.55,0.6
1819,399965.8996,7072779.871,929.221684,60.07,out,VLCL_BOTTOM,8.5,48.33,6670.108097,1.35,0.71,49.5,0.54,0.71,0.02,790,4.4,5.3,0.1,6
1820,399965.8918,7072779.886,928.2218284,60.07,out,VLCL_BOTTOM,8.5,48.33,6670.108097,1.35,0.71,49.5,0.54,0.71,0.02,790,4.4,5.3,0.1,4
1821,399965.8346,7072780.015,919.3229493,64,out,VLCL_BOTTOM,3.1,23.45,1037.399548,5.24,3.01,25.2,2.45,3.01,0.1,570,4.29,16.2,0.49,0.6
1822,399965.8283,7072780.029,918.3230667,64,out,VLCL_BOTTOM,3.1,23.45,1037.399548,5.24,3.01,25.2,2.45,3.01,0.1,570,4.29,16.2,0.49,10
