,mid_x,mid_y,mid_z,DTT_Mass_Recovery,MS_Actual,Al_pct,As_ppm,Au_ppm,Be_ppm,Ca_pct,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_ppm,Pb_ppm,S_pct,Si_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Ac,Cb,Ch,Cp,Ep,FeOx_1_pct,He_s,Kspar,Lm,Mt,Py,ANDE_LOWER,ANDE_UPPER,ANLT,BX,VLCL_BOTTOM,VLCL_TOP,Fe1_M1_100,Fe1_M1_200,Fe1_M1_220,Fe1_M1_221,Fe1_M1_222,Fe1_M1_302,Fe1_M1_304,Fe1_M1_306,Fe1_M1_400,Fe1_M1_502,Fe1_M1_504,Fe1_M1_506,Fe1_M1_508,Fe1_M1_602,Fe1_M1_604,Fe1_M1_606,Fe1_M1_802,Fe1_M1_804,Fe1_M1_806,Fe1_M1_808,Fe1_M1_902,Fe1_M1_904,Fe1_M1_906,Fe1_M1_908,in,out
739,0.00436689,0.253403361,-1.339142269,-0.659296482,-0.502564925,1.507581803,0.241466498,0,0.188396812,0.313186813,0.374217772,-0.267014947,-1.181426716,2.303797468,0.620915033,0.392694064,0,0.024390244,0.332777314,-0.706118355,1.641992564,0.168035251,1.551724138,0,0.158980391,0,0,1,0.006666667,0.333333333,-0.418181818,0.5,0.666666667,0,-0.348837209,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
740,0.004233677,0.253391971,-1.342161901,-0.659296482,-0.502564925,1.507581803,0.241466498,0,0.188396812,0.313186813,0.374217772,-0.267014947,-1.181426716,2.303797468,0.620915033,0.392694064,0,0.024390244,0.332777314,-0.706118355,1.641992564,0.168035251,1.551724138,0,0.158980391,0,0,1,0,0.666666667,-0.509090909,0,0,0,-0.348837209,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
741,0.00396702,0.253367768,-1.348201167,-0.659296482,-0.502564925,1.507581803,0.241466498,0,0.188396812,0.313186813,0.374217772,-0.267014947,-1.181426716,2.303797468,0.620915033,0.392694064,0,0.024390244,0.332777314,-0.706118355,1.641992564,0.168035251,1.551724138,0,0.158980391,0,0,1,0.006666667,0.333333333,-0.509090909,0,0.666666667,0,-0.302325581,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
742,0.002861537,0.253268109,-1.373246357,-0.683417085,-0.508313999,1.084504058,0.241466498,-1.325341833,0.188396812,1.186813187,0.123904881,-0.174140183,-1.376863973,0.278481013,1.058823529,1.214611872,0,-0.463414634,0.332777314,-0.678034102,1.336782134,0.168035251,0.517241379,0,0.158980391,0,0.666666667,0.666666667,0.006666667,0,-0.527272727,0.1,0.333333333,0,-0.325581395,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
743,0.002547931,0.253239635,-1.380351376,-0.683417085,-0.508313999,1.084504058,0.241466498,-1.325341833,0.188396812,1.186813187,0.123904881,-0.174140183,-1.376863973,0.278481013,1.058823529,1.214611872,0,-0.463414634,0.332777314,-0.678034102,1.336782134,0.168035251,0.517241379,0,0.158980391,0,0.666666667,1,0.006666667,0,-0.454545455,0.3,0,0,-0.348837209,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
744,0.001878396,0.253178416,-1.39552059,-0.345728643,-0.284350056,0.974387933,0.241466498,0,0.188396812,0.791208791,0.123904881,-0.257340492,-0.875524922,0.025316456,1.248366013,2.219178082,0,0.512195122,0.332777314,-0.738214644,0.777229679,0.168035251,1.482758621,0,0.158980391,0,0.666666667,1,0.066666667,0,-0.527272727,-0.1,0.666666667,0,-0.348837209,0.0125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
745,0.001745183,0.253167026,-1.398540223,-0.345728643,-0.284350056,0.974387933,0.241466498,0,0.188396812,0.791208791,0.123904881,-0.257340492,-0.875524922,0.025316456,1.248366013,2.219178082,0,0.512195122,0.332777314,-0.738214644,0.777229679,0.168035251,1.482758621,0,0.158980391,0,0.666666667,0.666666667,0.006666667,0.333333333,0,-0.2,0,0,0.348837209,0.0025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
746,0.001458174,0.253141399,-1.405041314,-0.345728643,-0.284350056,0.974387933,0.241466498,0,0.188396812,0.791208791,0.123904881,-0.257340492,-0.875524922,0.025316456,1.248366013,2.219178082,0,0.512195122,0.332777314,-0.738214644,0.777229679,0.168035251,1.482758621,0,0.158980391,0,0.666666667,0.333333333,0,0.666666667,-0.509090909,-0.1,0,0,-0.325581395,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
747,0.001193367,0.253117196,-1.411045055,0.422110553,0.261603718,-0.480304038,0.241466498,0,0.188396812,1.434065934,0.123904881,-0.299908093,0.101661363,-0.101265823,0.019607843,1.488584475,0,-0.463414634,0.332777314,-0.722166499,-0.608934357,0.168035251,0.310344828,0,0.158980391,0,0.666666667,0.333333333,0,0.666666667,-0.509090909,-0.1,0,0,-0.325581395,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
748,0.001036564,0.253102959,-1.414597564,0.422110553,0.261603718,-0.480304038,0.241466498,0,0.188396812,1.434065934,0.123904881,-0.299908093,0.101661363,-0.101265823,0.019607843,1.488584475,0,-0.463414634,0.332777314,-0.722166499,-0.608934357,0.168035251,0.310344828,0,0.158980391,0,0.666666667,0,0.02,0,0.909090909,-0.2,0,0,1.511627907,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
