,DTT_Fe_Conc_Grade
1254,62.48
1255,62.48
1256,61.11
1257,61.11
1258,61.11
1259,61.11
1260,59.14
1261,59.14
1262,63.16
1263,65.74
1264,65.74
1265,65.74
1266,60.12
1267,62.63
1268,62.63
1269,62.55
1270,38.11
1271,38.11
1272,35.53
1273,35.53
1274,64.75
1275,64.75
1276,66.8
1277,66.8
1278,64.9
1279,64.9
1280,67.19
1281,67.19
1282,66.2
1283,66.2
1284,60.5
1285,60.5
1286,66.8
1287,58.22
1288,60.81
1289,64.9
1290,64.9
1291,60.73
1292,60.73
1293,65.97
1294,65.97
1295,63.84
1296,63.84
1297,64.37
1298,64.37
1299,64.37
1300,67.18
1301,67.18
1302,67.18
1303,64.22
1304,64.22
1305,57.99
1306,66.35
1307,66.35
1308,67.03
1309,67.03
1310,67.03
1311,65.59
1312,51.68
1313,64.15
1314,64.15
1315,64.15
1316,60.19
1317,60.19
1318,62.78
1319,62.78
1320,63.39
1321,63.39
1322,63.39
1323,64.3
1324,64.3
1325,64.3
1326,63.54
1327,63.54
1328,63.54
1329,63.54
1330,70.23
1331,70.23
1332,63.23
1333,63.23
1334,63.23
1335,62.32
1336,62.32
1337,65.36
1338,65.36
1339,65.36
1340,53.51
1341,53.51
1342,56.85
1343,56.85
1344,61.56
1345,61.56
1346,51.99
1347,51.99
1348,59.97
1349,59.97
1350,59.97
1351,59.97
1352,59.97
1353,59.97
1354,63.99
1355,35.64
1356,64.75
1357,64.75
1358,64.75
1359,64.75
1360,64.45
1361,64.45
1362,64.45
1363,64.45
1364,64.45
1365,64.45
1366,58.98
1367,58.98
1368,58.98
1369,63.39
1370,63.39
1371,63.39
1372,63.39
1373,63.39
1374,65.67
1375,65.67
1376,66.27
1377,66.27
1378,66.27
1379,56.85
1380,56.85
1381,56.85
1382,60.8
1383,60.8
1384,60.8
1385,60.8
1386,60.8
1387,60.8
1388,62.47
1389,62.47
1390,62.47
1391,62.02
1392,65.21
1393,65.21
1394,65.21
1395,60.19
1396,60.19
1397,61.4
1398,61.4
1399,63.08
1400,63.08
1401,67.8
1402,67.8
1403,69.48
1404,69.48
1405,69.48
1406,67.34
1407,67.34
1408,65.51
1409,65.51
1410,65.51
1411,65.51
1412,65.97
1413,65.97
1414,65.97
1415,65.97
1416,65.97
1417,65.97
1418,61.41
1419,55.48
1420,55.48
1421,55.48
1422,51.99
1423,51.99
1424,56.7
1425,56.7
1426,56.7
1427,51.53
1428,51.53
1429,51.53
1430,51.53
1431,59.43
1432,59.43
1433,59.43
1434,63.54
1435,63.54
1436,65.36
1437,65.36
1438,65.36
1439,59.43
1440,65.57
1441,65.57
1442,64.3
1443,64.3
1444,56.55
1445,56.55
1446,62.24
1447,62.24
1448,62.24
1449,62.24
1450,66.43
1451,66.43
1452,66.43
1453,63.08
1454,63.08
1455,54.42
1456,54.42
1457,54.42
1458,28.56
1459,28.56
1460,61.4
1461,61.4
1462,59.88
1463,59.88
1464,59.88
1465,63.69
1466,63.69
1467,63.69
1468,63.69
1469,62.24
1470,62.24
1471,62.24
1472,62.24
1473,58.81
1474,58.81
1475,58.81
1476,59.5
1477,59.5
1478,41.9
1479,41.9
1480,41.9
1481,44.84
1482,44.84
1483,41.95
1484,41.95
1485,54.92
1486,54.92
1487,54.92
1488,64.68
1489,64.68
1490,53.96
1491,53.96
1492,59.13
1493,59.13
1494,59.13
1495,55.48
1496,55.48
1497,55.48
1498,55.48
1499,64.6
1500,64.6
1501,64.6
1502,60.8
1503,60.8
1504,60.8
1505,60.8
1506,64.91
1507,64.91
1508,62.33
1509,62.33
1510,66.5
1511,66.5
1512,66.5
1513,65.89
1514,65.89
1515,64.75
1516,64.75
1517,64.75
1518,64.75
1519,65.36
1520,65.36
1521,65.36
1522,30.55
1523,30.55
1524,30.55
1525,66.58
1526,66.58
1527,52.29
1528,52.29
1529,46.37
1530,46.37
1531,46.37
1532,46.37
1533,59.74
1534,59.74
1535,59.74
1536,59.74
1537,63.46
1538,63.46
1539,22.8
1540,22.8
1541,22.88
1542,22.88
1543,22.88
1544,18.31
1545,58.67
1546,58.67
1547,59.51
1548,59.51
1549,59.51
1550,59.51
1551,66.65
1552,66.65
1553,67.09
1554,45.76
1555,45.76
1556,65.88
1557,62.48
1558,62.48
1559,62.48
1560,62.48
1561,65.73
1562,67.09
1563,67.09
1564,67.09
1565,68.23
1566,68.23
1567,32.3
1568,62.78
1569,62.78
1570,62.78
1571,62.78
1572,62.78
1573,67.03
1574,67.03
1575,67.03
1576,62.33
1577,63.99
1578,63.99
1579,63.99
1580,63.99
1581,62.93
1582,62.93
1583,62.93
1584,63.01
1585,63.01
1586,63.01
1587,59.6
1588,59.6
1589,59.6
1590,59.6
1591,65.81
1592,65.81
1593,65.81
1594,65.81
1595,67.32
1596,67.32
1597,67.32
1598,65.5
1599,65.5
1600,65.5
1601,65.5
1602,63.46
1603,63.46
1604,63.39
1605,63.39
1606,53.4
1607,53.4
1608,53.4
1609,53.4
1610,59.45
1611,59.45
1612,52.65
1613,52.65
1614,64.45
1615,64.45
1616,64.45
1617,60.06
1618,60.06
1619,60.06
1620,60.06
1621,47.2
1622,47.2
1623,47.2
1624,15.96
1625,15.96
1626,56.6
1627,56.6
1628,56.6
1629,60.07
1630,60.07
1631,64
1632,64
1633,59.6
1634,59.6
1635,59.6
1636,59.6
1637,54.67
1638,54.67
1639,43.1
1640,43.1
1641,43.1
1642,63.46
1643,63.46
1644,63.46
1645,63.46
1646,59.38246377
1647,67.84369565
1648,67.84369565
1649,66.15144928
1650,62.00183133
1651,62.00183133
1652,60.85080723
1653,60.85080723
1654,60.16019277
1655,55.40262651
1656,59.31610843
1657,23.63436145
1658,67.37327711
1659,67.37327711
1660,68.14062651
1661,68.14062651
1662,68.06389157
1663,68.06389157
1664,64.91775904
1665,68.21736145
1666,53.94466265
1667,60.08345783
1668,69.37
1669,69.44512048
1670,67.52674699
1671,69.90553012
1672,67.68021687
1673,62.46224096
1674,52.71690361
1675,52.71690361
1676,52.71690361
1677,47.42219277
1678,69.52185542
1679,65.91531325
1680,68.37083133
1681,68.37083133
1682,66.52919277
1683,62.9226506
1684,62.9226506
1685,64.15
1686,64.15
1687,60.77407229
1688,63.22959036
1689,63.15285542
1690,63.15285542
1691,68.21736145
1692,55.40262651
1693,55.40262651
1694,69.06144578
1695,69.06144578
1696,62.9226506
1697,62.9226506
1698,63.07612048
1699,63.07612048
1700,30.23356627
1701,34.37725301
1702,30.23356627
1703,39.28828916
