,mid_x,mid_y,mid_z,DTT_Mass_Recovery,MS_Actual,Al_pct,As_ppm,Au_ppm,Be_ppm,Ca_pct,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_ppm,Pb_ppm,S_pct,Si_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Ac,Cb,Ch,Cp,Ep,FeOx_1_pct,He_s,Kspar,Lm,Mt,Py,ANDE_LOWER,ANDE_UPPER,ANLT,BX,Fe1_M1_100,Fe1_M1_200,Fe1_M1_220,Fe1_M1_221,Fe1_M1_222,Fe1_M1_302,Fe1_M1_304,Fe1_M1_306,Fe1_M1_400,Fe1_M1_502,Fe1_M1_504,Fe1_M1_506,Fe1_M1_508,Fe1_M1_602,Fe1_M1_604,Fe1_M1_606,Fe1_M1_802,Fe1_M1_804,Fe1_M1_806,Fe1_M1_808,Fe1_M1_902,Fe1_M1_904,Fe1_M1_906,Fe1_M1_908,in,out
1268,-0.365876576,-0.568991193,1.414723597,0.100502513,-0.171633566,1.542355316,0.013906448,-1.029887288,0.392070485,-0.252747253,0.017521902,-0.10448411,-1.087956723,0.253164557,0.797385621,0.182648402,2.678857143,3.317073171,0.022518766,-0.682046138,1.998071399,0.262773723,3.517241379,3.807930187,0.140401146,0,0.333333333,0.333333333,0,0,-0.490909091,-0.2,0,0,-0.348837209,0.005,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1269,-0.36591011,-0.568972685,1.407552236,0.100502513,-0.171633566,1.542355316,0.013906448,-1.029887288,0.392070485,-0.252747253,0.017521902,-0.10448411,-1.087956723,0.253164557,0.797385621,0.182648402,2.678857143,3.317073171,0.022518766,-0.682046138,1.998071399,0.262773723,3.517241379,3.807930187,0.140401146,0.333333333,0.666666667,0.666666667,0.033333333,0,0.636363636,-0.2,0,0,1.162790698,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1274,-0.369660659,-0.567163159,0.828189455,-0.631155779,-0.464294176,2.255212338,0.024020228,0,0.083700441,0.417582418,0.10387985,-0.306486722,-1.57230123,3.101265823,2.921568627,1.150684932,-0.204571429,1.414634146,0.029190992,-0.557673019,1.438518944,0.711678832,1.965517241,2.739748369,0.140401146,0.666666667,0,0.666666667,0,0,-0.545454545,-0.2,0,0,-0.348837209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1275,-0.369714083,-0.567138956,0.821019737,-0.631155779,-0.464294176,2.255212338,0.024020228,0,0.083700441,0.417582418,0.10387985,-0.306486722,-1.57230123,3.101265823,2.921568627,1.150684932,-0.204571429,1.414634146,0.029190992,-0.557673019,1.438518944,0.711678832,1.965517241,2.739748369,0.140401146,0.666666667,0,0.333333333,0.006666667,0.333333333,-0.509090909,-0.2,0.333333333,0,-0.302325581,0.0025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1301,-0.509202021,-0.543939726,0.688879027,-0.466331658,-0.348459548,0.568696945,0.069532238,0.561021803,0.039647577,2.285714286,0.105131414,1.112562279,-0.739568569,1.708860759,-0.111111111,0.484018265,-1.215428571,-0.170731707,0.015846539,0.509528586,0.268545629,0.386861314,0.965517241,0.171566551,0.140401146,0,1,1,0.333333333,0,0.909090909,2.8,0,0,-0.348837209,0.125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1302,-0.509183519,-0.544015182,0.675650843,-0.55879397,-0.441711772,1.252576039,0.029077118,0.379203622,0.039647577,2.230769231,0.136420526,0.934552315,-1.092205359,0.911392405,0.117647059,0.694063927,0.325714286,0.487804878,0.005838198,0.208625878,0.573756059,0.503649635,1.896551724,1.557930187,0.140401146,0,1,1,0.333333333,0,0.909090909,2.8,0,0,-0.348837209,0.125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1303,-0.509173806,-0.54405647,0.668481226,-0.55879397,-0.441711772,1.252576039,0.029077118,0.379203622,0.039647577,2.230769231,0.136420526,0.934552315,-1.092205359,0.911392405,0.117647059,0.694063927,0.325714286,0.487804878,0.005838198,0.208625878,0.573756059,0.503649635,1.896551724,1.557930187,0.140401146,0,1,0.333333333,0.133333333,0,-0.181818182,-0.2,0,0,0.11627907,0.125,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1351,0.529463818,-0.392247086,1.106553112,-0.176884422,-0.395665565,1.501786217,0.003792668,-0.734432742,0.392070485,-0.571428571,0.012515645,0.394717748,-1.729500762,0.481012658,0.320261438,0.237442922,3.076571429,3.292682927,0.012510425,-0.573721163,2.710229069,0.178832117,3.275862069,3.376112005,0.140401146,0,0,0.333333333,0.033333333,0,-0.536363636,-0.15,0,0,-0.325581395,0.0025,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1418,-0.033412192,-0.331059206,1.066324282,-0.607035176,-0.479837247,1.21200694,0.001264223,0.401930894,0.083700441,0.67032967,0.017521902,0.665602477,-1.189923988,-0.759493671,-0.287581699,-0.301369863,2.397142857,2.780487805,0.022518766,-0.449348044,2.379584437,0.145985401,3.068965517,2.717021096,0.140401146,0.333333333,0.333333333,0.666666667,0.2,0,-0.454545455,0,0,0.005,-0.279069767,0.025,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1419,-0.033385595,-0.331119002,1.059158423,-0.607035176,-0.479837247,1.21200694,0.001264223,0.401930894,0.083700441,0.67032967,0.017521902,0.665602477,-1.189923988,-0.759493671,-0.287581699,-0.301369863,2.397142857,2.780487805,0.022518766,-0.449348044,2.379584437,0.145985401,3.068965517,2.717021096,0.140401146,0.333333333,0.333333333,0.666666667,0.04,0,-0.327272727,0.8,0,0,-0.302325581,0.0125,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
